;nakoplenia_ludei.xls;rashodi_na_med.xls;chislo_ubistv.xls;inflazia.xls;nalogi.xls;procent_tryd_naselenia.xls;trati_na_obraz.xls;rogdaemost.xls;voennie_trati.xls;bezrabotiza.xls;vvp_pps_na_dyshy.xls;patenti.csv;Happiness.Score
Kosovo;29.281488453601707;;2.621518296;1.48823430592309;15.2;49.52425319397796;;12.615;0.795720484392272;;10436.168845932314;;5.27899980545044
Kuwait;35.49399818966778;4.65326786;;2.17183298510008;13.0;32.177577739047514;6.3654899597168;14.386;5.60746068078644;0.0803999975323677;50007.29953660172;;6.10500001907349
Kyrgyzstan;;;;;;;;;;;;;5.00400018692017
Latvia;23.204529362647953;5.97031736;4.15151066297575;2.93036312374664;35.9;55.97980070543338;4.36671018600464;10.7;1.5948215033121298;0.511039972305298;28673.563396266407;90.0;5.84999990463257
Lebanon;-0.9348748031177242;7.7873559;3.60736976845232;4.32135218303198;30.3;52.396319790021586;2.13294005393982;16.904;4.50513980065137;;17808.076885991955;;5.22499990463257
Lesotho;10.335636952453427;10.08778667;;4.44769937376299;13.6;63.84023091142533;8.15688991546631;27.723;1.95305561248552;;2571.6941126848806;;3.80800008773804
Liberia;;9.09297276;;12.4196323907137;45.5;84.28946852776082;2.66330003738403;33.151;0.9400092701357551;;1533.4112378777074;;3.53299999237061
Libya;20.49909560773203;;;;32.6;55.390650923267245;;19.898;;;24212.910927091474;;5.52500009536743
Lithuania;19.737318324039602;6.47513723;3.51442089899589;3.72288862303693;42.7;52.685269158515254;3.81220006942749;10.1;1.7120704676120198;0.896260023117065;33761.87123979601;81.0;5.90199995040894
Luxembourg;21.682980661331662;5.25779152;0.337886922762428;1.73079959118897;20.5;43.8125509451071;3.48645997047424;10.4;0.524903451938245;1.23898005485535;114985.8422359888;156.0;6.86299991607666
Macedonia;;;;;;;;;;;;;5.17500019073486
Madagascar;14.650534751046612;4.84431553;;8.60905075422951;38.1;77.57660746460468;2.70137000083923;32.477;0.580022349565689;0.0127499997615814;1548.1564247983963;9.0;3.64400005340576
Malawi;;10.88755989;;11.543393918877;34.5;93.45608265531654;4.03133010864258;34.343;0.764642847745728;;1454.7774924497126;;3.97000002861023
Malaysia;28.336040626255237;3.70413661;;3.8712011577424;39.2;44.15317296240625;4.6753101348877;16.355;1.10086472559671;;25935.142697553936;1166.0;6.08400011062622
Mali;14.373625970462939;3.67425632;;1.75985742927153;48.3;102.5348430402175;3.78976988792419;43.378;3.02663551651214;0.291979998350143;2153.8456380079656;;4.19000005722046
Malta;28.799196538895877;8.89494133;2.05509950106751;1.3643544815071;43.9;47.623508778570574;4.65162992477417;9.2;0.478711230814225;0.563319981098175;43508.78325651815;5.0;6.52699995040894
Mauritania;30.366181425092403;3.33722878;;2.27503457252097;67.0;87.69857169155469;;34.425;2.0422734109028102;;5259.0650629493575;;4.29199981689453
Mauritius;12.624444565606534;5.80943251;2.60973335642552;3.66699702675917;21.9;40.4668258000451;5.02312994003296;10.7;0.171040745755149;0.366360008716583;22148.624387767242;1.0;5.62900018692017
Mexico;23.168934900880934;5.45759058;25.7089978030143;6.04145724018992;53.4;51.71927170604375;4.51821994781494;16.947;0.436510296383438;0.328319996595383;20032.408612594816;1334.0;6.57800006866455
Moldova;16.862052054297042;7.01328516;3.47317416342688;6.57022997455605;40.5;45.29388220243033;5.6184401512146;13.805;0.319318626147296;0.253740012645721;11651.18635201065;73.0;5.83799982070923
Mongolia;17.358321186111393;4.0050602;6.13400783868394;4.30143105302342;24.7;52.395630186249676;4.31822395324707;24.222;0.765300910765107;0.134200006723404;11431.498016396748;124.0;4.95499992370605
Montenegro;14.155159568636686;7.98255444;2.39019827491423;2.38023599053136;22.1;49.49928537970959;;11.9;1.36277638600831;0.348980009555817;19682.294154643838;;5.23699998855591
Morocco;28.591985581261603;5.23467541;2.13876648596198;0.754663249323633;49.8;51.45349355203588;5.11831998825073;19.298;3.18304123871317;;7921.619140625;198.0;5.2350001335144
Mozambique;12.576570100492408;7.75916147;;15.1132073899385;36.1;88.78402664199893;5.50555992126465;38.127;0.987964415251795;;1287.234867346611;24.0;4.55000019073486
Myanmar;25.62798649924111;5.08065748;;4.57253655317505;31.2;46.778196371372914;2.32633996009827;18.129;3.64893211419969;0.0348399989306927;4312.947389403762;;4.54500007629395
Namibia;13.120978045879902;8.72573948;;6.14579981111162;20.7;66.89151466429138;9.70866966247559;29.503;3.3461699499733197;;10335.26742332186;10.0;4.57399988174438
Nepal;41.88064846358805;4.72173262;;3.62709610696609;30.0;60.79932310459015;3.52892374992371;21.376;1.7085445431629698;;3495.528800483049;20.0;4.96199989318848
Netherlands;29.514916108468682;10.1082983;0.775496974592428;1.3814587140721;40.7;53.27789918691913;5.17509984970093;9.9;1.15680366756712;2.17857003211975;55088.63380067443;2241.0;7.3769998550415
New Zealand;20.72008760569228;9.01967621;0.744359509479844;1.85078767452532;34.5;52.90016701617878;6.25973987579346;12.38;1.14038666750361;1.34653997421265;42218.53771483938;1014.0;7.31400012969971
Nicaragua;22.417624400464423;8.33672619;6.7503617551755;3.85067166284725;60.2;56.40678160816898;4.35769987106323;22.09;0.6238990553935451;;5915.375443354236;;6.07100009918213
Niger;20.44427840076023;5.57411432;;2.7963731887128;47.2;106.0260514232937;2.57818007469177;46.351;2.4869457773715498;;1155.9735590455407;;4.02799987792969
Nigeria;18.265099150442392;3.75336528;;16.5235399802169;34.8;88.96855403009404;;38.689;0.43067121510711304;;5120.005597779135;100.0;5.07399988174438
North Cyprus;;;;;;;;;;;;;5.80999994277954
Norway;33.304719177308975;10.31589031;0.528668563328074;1.87510059552548;37.7;52.8243424560298;7.91198015213013;10.7;1.71949716299962;2.09918999671936;64050.75616546592;1152.0;7.53700017929077
Pakistan;12.897438810688962;2.90229392;3.96092064782481;4.08537368032604;33.9;72.74310135577525;2.89951992034912;28.963;3.7744488613442697;0.236269995570183;4891.719773932382;193.0;5.26900005340576
Palestinian Territories;;;;;;;;;;;;;4.77500009536743
Panama;31.580909651719296;6.90812922;9.20432730003477;0.875585918759888;37.2;54.434144803913874;2.88224005699158;19.317;;0.147180005908012;30526.379854875093;33.0;6.4520001411438
Paraguay;24.786656243959744;6.60703087;7.87819179625394;3.60247741348939;35.0;55.53930783400958;3.08968997001648;21.962;0.8926632312192531;0.148880004882813;13604.174717199458;;5.49300003051758
Peru;20.48172698805598;4.91776848;7.90922386280578;2.99490045809446;35.6;55.91727675978838;3.93130993843079;18.269;1.24631280351362;0.120849996805191;12442.746462485215;100.0;5.71500015258789
Philippines;35.488628516236226;3.960428;7.86133913690578;2.85318772590939;42.9;58.080267813122624;3.97115445137024;22.664;1.24707707471824;;8001.756480061434;323.0;5.42999982833862
Poland;18.58080454147027;6.5601325;0.756194949271176;2.07593553673862;40.5;46.565888567731115;4.5584602355957;10.6;1.89493098674011;1.03418004512787;29958.120709207447;3924.0;5.97300004959106
Portugal;18.021004316724344;9.30583763;;1.36861411643481;39.8;54.48549056038654;5.0156102180481;8.4;1.67187886982417;1.3192800283432;33044.71673874793;644.0;5.19500017166138
Qatar;46.59993042584586;2.977561;0.440411094395879;0.394878914082996;11.3;17.468872496251876;2.96745991706848;10.228;;;92177.59594379301;19.0;6.375
Romania;20.820560186238264;5.1508317;1.29744805704864;1.33902121104396;40.0;50.20624616791752;3.09539008140564;10.8;1.7210716873857699;0.503220021724701;26943.347737832348;1098.0;5.82499980926514
Russia;;;;;;;;;;;;;5.96299982070923
Rwanda;14.361829118389096;6.38999128;;8.27953672260826;33.2;76.96191864810051;3.12646007537842;31.399;1.26467491445117;;1934.9729552946235;4.0;3.47099995613098
